target,margin,dwell,cell_class,FAR,FRR,n_transitions,excess_transitions,fewer_than_2_transitions,transition_rate_per_100,n_flip_events,detection_failure,recovery_failure,detection_latency_frames,recovery_latency_frames,detection_latency_censored,recovery_latency_censored,lockout_fraction_during_genuine,n_users_feasible
0.05,0.05,10,hysteresis,0.08697530864197531,0.5875308641975309,1.1296296296296295,0.0,0.8703703703703703,0.6310780053796814,0.0,0.0,0.8703703703703703,5.218518518518518,24.0,5.218518518518518,54.12962962962963,0.5875308641975309,9
0.05,0.1,1,margin_only,0.032525252525252527,0.06794823232323231,2.4318181818181817,0.5212121212121212,0.08181818181818182,1.3585576434738444,0.38484848484848483,0.01515151515151515,0.07272727272727274,0.45606060606060606,1.321969696969697,1.3409090909090908,5.412878787878788,0.06794823232323231,22
0.05,0.1,2,hysteresis,0.06848484848484848,0.12090909090909091,2.1303030303030304,0.20606060606060606,0.07575757575757575,1.1901134247502962,0.0,0.01515151515151515,0.10606060606060606,2.1333333333333333,5.040909090909091,3.027272727272727,10.981818181818182,0.12090909090909091,11
0.05,0.1,3,hysteresis,0.06199346405228758,0.21024509803921568,1.715686274509804,0.058823529411764705,0.33137254901960783,0.958483952240114,0.0,0.021568627450980395,0.31960784313725493,2.2019607843137257,6.757142857142857,3.4058823529411764,23.566666666666666,0.21024509803921568,17
0.05,0.1,5,hysteresis,0.05891975308641975,0.4868827160493827,1.401851851851852,0.08148148148148147,0.6796296296296296,0.7831574591351127,0.0,0.009259259259259259,0.7203703703703703,3.009259259259259,13.815151515151515,3.535185185185185,47.285185185185185,0.4868827160493827,18
0.05,0.2,1,margin_only,0.05448717948717949,0.13153846153846155,1.9435897435897436,0.1487179487179487,0.19230769230769232,1.0858043260277896,0.02564102564102564,0.02564102564102564,0.16666666666666666,0.9358974358974359,2.6972222222222224,2.4205128205128204,12.289743589743589,0.13153846153846155,13
0.05,0.2,2,hysteresis,0.07256944444444445,0.35628472222222224,1.325,0.0,0.65,0.7402234636871509,0.0,0.04583333333333334,0.6041666666666666,1.8145833333333332,10.216666666666667,4.354166666666666,39.8,0.35628472222222224,8
0.05,0.2,3,hysteresis,0.10037037037037037,0.3738888888888889,1.2555555555555555,0.0,0.7111111111111111,0.7014276846679081,0.0,0.061111111111111116,0.65,2.6,14.233333333333334,6.022222222222222,42.949999999999996,0.3738888888888889,6
0.07,0.0,1,instantaneous,0.05293103448275863,0.029798850574712647,3.9218390804597703,1.9885057471264367,0.047126436781609195,2.1909715533294802,2.0172413793103448,0.025287356321839084,0.026436781609195402,0.603448275862069,0.18160919540229886,2.103448275862069,1.767816091954023,0.029798850574712647,29
0.07,0.0,2,dwell_only,0.062164750957854405,0.03756704980842912,2.432183908045977,0.48045977011494245,0.034482758620689655,1.3587619598022216,0.2827586206896551,0.025287356321839084,0.026436781609195402,1.3833333333333333,1.0839080459770114,2.8735632183908044,2.644827586206896,0.03756704980842912,29
0.07,0.0,3,dwell_only,0.07611111111111112,0.07968253968253969,2.333333333333333,0.4119047619047619,0.06666666666666667,1.303538175046555,0.10476190476190476,0.023809523809523808,0.054761904761904755,2.1714285714285713,2.2142857142857144,3.5523809523809526,5.395238095238095,0.07968253968253969,14
0.07,0.0,5,dwell_only,0.07440740740740741,0.09038425925925925,2.1877777777777774,0.22722222222222221,0.039444444444444435,1.222222222222222,0.0,0.005555555555555555,0.04777777777777777,3.7933333333333334,4.622777777777778,4.104444444444445,7.239999999999999,0.09038425925925925,30
0.07,0.0,10,dwell_only,0.08563034188034188,0.4908119658119658,1.6192307692307693,0.11153846153846153,0.49230769230769234,0.9045981951009884,0.0,0.0,0.5269230769230769,5.137820512820513,19.434848484848484,5.137820512820513,40.06666666666667,0.4908119658119658,26
0.07,0.05,1,margin_only,0.03825757575757576,0.048099747474747476,3.206060606060606,1.2833333333333334,0.06818181818181818,1.7910953106483831,1.1924242424242424,0.016666666666666666,0.05757575757575757,0.36742424242424243,0.18636363636363634,1.356060606060606,3.6295454545454544,0.048099747474747476,22
