enrolled_user,target,cell,margin,dwell,cell_class,FAR,FRR,n_transitions,excess_transitions,fewer_than_2_transitions,transition_rate_per_100,n_flip_events,detection_failure,recovery_failure,detection_latency_frames,recovery_latency_frames,detection_latency_censored,recovery_latency_censored,lockout_fraction_during_genuine
5152A2DF-FAF3-4BA8-9CA9-E66B32671A53,0.05,m0_k2,0.0,2,dwell_only,0.016666666666666666,0.008333333333333333,2.0,0.0,0.0,1.1173184357541899,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.008333333333333333
5152A2DF-FAF3-4BA8-9CA9-E66B32671A53,0.05,m0_k3,0.0,3,dwell_only,0.03333333333333333,0.016666666666666666,2.0,0.0,0.0,1.1173184357541899,0.0,0.0,0.0,2.0,2.0,2.0,2.0,0.016666666666666666
5152A2DF-FAF3-4BA8-9CA9-E66B32671A53,0.05,m0_k5,0.0,5,dwell_only,0.05333333333333333,0.31166666666666665,3.8,1.8,0.0,2.122905027932961,0.0,0.0,0.2,3.2,8.5,3.2,18.8,0.31166666666666665
5152A2DF-FAF3-4BA8-9CA9-E66B32671A53,0.07,m0.05_k1,0.05,1,margin_only,0.0,0.0,2.0,0.0,0.0,1.1173184357541899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5152A2DF-FAF3-4BA8-9CA9-E66B32671A53,0.07,m0.05_k10,0.05,10,hysteresis,0.06,0.7233333333333334,1.0,0.0,1.0,0.5586592178770949,0.0,0.0,1.0,3.6,,3.6,60.0,0.7233333333333334
5152A2DF-FAF3-4BA8-9CA9-E66B32671A53,0.07,m0.05_k5,0.05,5,hysteresis,0.06666666666666667,0.09666666666666666,2.0,0.0,0.0,1.1173184357541899,0.0,0.0,0.0,4.0,11.6,4.0,11.6,0.09666666666666666
5152A2DF-FAF3-4BA8-9CA9-E66B32671A53,0.07,m0.1_k2,0.1,2,hysteresis,0.016666666666666666,0.07833333333333334,2.0,0.0,0.0,1.1173184357541899,0.0,0.0,0.0,1.0,9.4,1.0,9.4,0.07833333333333334
5152A2DF-FAF3-4BA8-9CA9-E66B32671A53,0.07,m0.1_k3,0.1,3,hysteresis,0.03333333333333333,0.08666666666666667,2.0,0.0,0.0,1.1173184357541899,0.0,0.0,0.0,2.0,10.4,2.0,10.4,0.08666666666666667
5152A2DF-FAF3-4BA8-9CA9-E66B32671A53,0.07,m0.1_k5,0.1,5,hysteresis,0.06666666666666667,0.2033333333333333,1.8,0.0,0.2,1.0055865921787708,0.0,0.0,0.2,4.0,15.5,4.0,24.4,0.2033333333333333
5152A2DF-FAF3-4BA8-9CA9-E66B32671A53,0.07,m0_k1,0.0,1,instantaneous,0.0,0.0016666666666666666,2.4,0.4,0.0,1.3407821229050279,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0016666666666666666
5152A2DF-FAF3-4BA8-9CA9-E66B32671A53,0.07,m0_k10,0.0,10,dwell_only,0.12,0.5416666666666666,2.2,0.4,0.2,1.2290502793296088,0.0,0.0,0.6,7.2,39.0,7.2,51.6,0.5416666666666666
5152A2DF-FAF3-4BA8-9CA9-E66B32671A53,0.07,m0_k2,0.0,2,dwell_only,0.016666666666666666,0.008333333333333333,2.0,0.0,0.0,1.1173184357541899,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.008333333333333333
5152A2DF-FAF3-4BA8-9CA9-E66B32671A53,0.07,m0_k5,0.0,5,dwell_only,0.06666666666666667,0.06166666666666667,2.8,0.8,0.0,1.564245810055866,0.0,0.0,0.0,4.0,4.6,4.0,4.6,0.06166666666666667
5EF64122-B513-46AE-BCF1-E62AAC285D2C,0.03,m0.05_k2,0.05,2,hysteresis,0.016666666666666666,0.06527777777777778,2.0,0.0,0.0,1.1173184357541899,0.0,0.0,0.0,1.0,7.833333333333333,1.0,7.833333333333333,0.06527777777777778
5EF64122-B513-46AE-BCF1-E62AAC285D2C,0.03,m0.05_k3,0.05,3,hysteresis,0.03333333333333333,0.42777777777777776,1.1666666666666667,0.0,0.8333333333333334,0.6517690875232774,0.0,0.0,0.8333333333333334,2.0,8.0,2.0,51.333333333333336,0.42777777777777776
5EF64122-B513-46AE-BCF1-E62AAC285D2C,0.03,m0.05_k5,0.05,5,hysteresis,0.044444444444444446,0.6444444444444445,1.0,0.0,1.0,0.5586592178770949,0.0,0.0,1.0,2.6666666666666665,,2.6666666666666665,60.0,0.6444444444444445
5EF64122-B513-46AE-BCF1-E62AAC285D2C,0.03,m0.1_k2,0.1,2,hysteresis,0.016666666666666666,0.5,1.0,0.0,1.0,0.5586592178770949,0.0,0.0,1.0,1.0,,1.0,60.0,0.5
5EF64122-B513-46AE-BCF1-E62AAC285D2C,0.03,m0_k1,0.0,1,instantaneous,0.0,0.0,2.0,0.0,0.0,1.1173184357541899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5EF64122-B513-46AE-BCF1-E62AAC285D2C,0.03,m0_k10,0.0,10,dwell_only,0.024999999999999998,0.7888888888888889,1.5,0.16666666666666666,0.6666666666666666,0.8379888268156425,0.0,0.0,0.8333333333333334,1.5,15.0,1.5,52.5,0.7888888888888889
5EF64122-B513-46AE-BCF1-E62AAC285D2C,0.03,m0_k2,0.0,2,dwell_only,0.016666666666666666,0.008333333333333333,2.0,0.0,0.0,1.1173184357541899,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.008333333333333333
5EF64122-B513-46AE-BCF1-E62AAC285D2C,0.03,m0_k3,0.0,3,dwell_only,0.03333333333333333,0.016666666666666666,2.0,0.0,0.0,1.1173184357541899,0.0,0.0,0.0,2.0,2.0,2.0,2.0,0.016666666666666666
5EF64122-B513-46AE-BCF1-E62AAC285D2C,0.03,m0_k5,0.0,5,dwell_only,0.044444444444444446,0.31666666666666665,3.3333333333333335,1.5,0.16666666666666666,1.86219739292365,0.0,0.0,0.16666666666666666,2.6666666666666665,5.0,2.6666666666666665,14.166666666666666,0.31666666666666665
